Teacher_ID,School_ID,Subject,Training_Level,Years_of_Experience,Student_Teacher_Ratio
TCH0045,SCH0916,Social Studies,Advanced,11,10
TCH0046,SCH0273,Nepali,Basic,15,24
TCH0047,SCH0734,Nepali,Basic,9,24
TCH0048,SCH0443,Science,Basic,6,25
TCH0049,SCH0833,English,Basic,6,25
TCH0050,SCH0453,Science,Basic,7,29
TCH0051,SCH0574,Math,Basic,4,24
TCH0052,SCH0025,English,Advanced,25,12
TCH0053,SCH0206,Science,Basic,19,20
TCH0054,SCH0608,Nepali,Advanced,15,13
TCH0055,SCH0801,Nepali,Advanced,15,22
TCH0056,SCH0770,Math,Advanced,25,10
TCH0057,SCH0757,English,Basic,4,28
TCH0058,SCH0840,Science,Advanced,15,29
TCH0059,SCH0582,English,Basic,7,20
TCH0060,SCH0221,Social Studies,Advanced,14,29
TCH0061,SCH0974,Nepali,Advanced,26,14
TCH0062,SCH0516,Nepali,Basic,18,24
TCH0063,SCH0592,Social Studies,Basic,12,22
TCH0064,SCH0146,Math,Advanced,1,24
TCH0065,SCH0168,Math,Basic,5,28
TCH0066,SCH0440,Social Studies,Advanced,1,20
TCH0067,SCH0169,Science,Advanced,17,22
TCH0068,SCH0211,Social Studies,Advanced,12,24
TCH0069,SCH0264,Social Studies,Basic,2,29
TCH0070,SCH0927,Nepali,Advanced,6,13
TCH0071,SCH1000,Math,Basic,5,23
TCH0072,SCH0718,English,Basic,16,24
TCH0073,SCH0568,Math,Basic,17,29
TCH0074,SCH0536,Math,Advanced,12,29
TCH0075,SCH0336,English,Advanced,3,24
TCH0076,SCH0370,Nepali,Basic,2,28
TCH0077,SCH0089,Math,Advanced,22,13
TCH0078,SCH0634,Math,Basic,14,28
TCH0079,SCH0510,Math,Basic,18,24
TCH0080,SCH0176,Science,Basic,11,25
TCH0081,SCH0141,Science,Advanced,18,11
TCH0082,SCH0591,English,Advanced,11,22
TCH0083,SCH0560,Science,Advanced,4,28
TCH0084,SCH0596,Science,Basic,9,22
TCH0085,SCH0772,Math,Advanced,18,14
TCH0086,SCH0748,English,Advanced,12,24
TCH0087,SCH0526,English,Advanced,4,14
TCH0088,SCH0966,Social Studies,Advanced,28,10
TCH0089,SCH0059,Social Studies,Advanced,19,11
TCH0090,SCH0673,Social Studies,Advanced,3,12
TCH0091,SCH0719,Social Studies,Basic,17,28
TCH0092,SCH0131,Social Studies,Basic,16,23
TCH0093,SCH0872,Math,Basic,10,29
TCH0094,SCH0941,Nepali,Advanced,18,13
TCH0095,SCH0150,Social Studies,Basic,1,25
TCH0096,SCH0587,Science,Advanced,24,10
TCH0097,SCH0923,Science,Basic,8,22
TCH0098,SCH0654,Nepali,Advanced,7,10
TCH0099,SCH0828,Science,Advanced,18,28
TCH0100,SCH0471,English,Basic,15,20
TCH0101,SCH0858,English,Basic,16,26
TCH0102,SCH0069,Math,Basic,11,25
TCH0103,SCH0766,English,Advanced,30,13
TCH0104,SCH0850,Social Studies,Basic,19,23
TCH0105,SCH0747,Science,Basic,7,28
TCH0106,SCH0472,English,Basic,14,23
TCH0107,SCH0075,Math,Basic,8,21
TCH0108,SCH0250,Science,Basic,17,26
TCH0109,SCH0459,Math,Basic,12,23
TCH0110,SCH0541,English,Advanced,22,11
TCH0111,SCH0521,Science,Basic,11,20
TCH0112,SCH0188,Nepali,Advanced,30,12
TCH0113,SCH0008,Social Studies,Basic,17,21
TCH0114,SCH0496,Math,Advanced,11,11
TCH0115,SCH0430,Science,Basic,2,29
TCH0116,SCH0281,English,Advanced,14,29
TCH0117,SCH0347,Nepali,Advanced,27,12
TCH0118,SCH0547,Math,Advanced,9,14
TCH0119,SCH0006,Science,Advanced,15,28
TCH0120,SCH0625,Math,Advanced,9,11
TCH0121,SCH0277,English,Advanced,8,20
TCH0122,SCH0169,Math,Basic,13,27
TCH0123,SCH0553,Math,Basic,4,21
TCH0124,SCH0080,Math,Advanced,1,29
TCH0125,SCH0491,Science,Advanced,14,22
TCH0126,SCH0214,Social Studies,Advanced,21,13
TCH0127,SCH0790,Social Studies,Advanced,3,29
TCH0128,SCH0458,Social Studies,Basic,15,26
TCH0129,SCH0747,Science,Advanced,1,21
TCH0130,SCH0743,Math,Advanced,22,10
TCH0131,SCH0642,Social Studies,Advanced,21,11
TCH0132,SCH0981,Social Studies,Advanced,1,11
TCH0133,SCH0833,Math,Basic,2,28
TCH0134,SCH0924,Nepali,Basic,18,23
TCH0135,SCH0635,Math,Advanced,11,27
TCH0136,SCH0933,Social Studies,Advanced,15,21
TCH0137,SCH0460,Math,Advanced,8,25
TCH0138,SCH0825,Science,Basic,12,27
TCH0139,SCH0649,English,Advanced,11,13
TCH0140,SCH0749,English,Basic,16,25
TCH0141,SCH0075,Social Studies,Advanced,2,24
TCH0142,SCH0120,Science,Basic,16,20
TCH0143,SCH0537,Science,Basic,11,29
TCH0144,SCH0681,Science,Basic,6,29
TCH0145,SCH0101,Social Studies,Advanced,27,12
TCH0146,SCH0211,Social Studies,Basic,12,21
TCH0147,SCH0641,Math,Basic,13,21
TCH0148,SCH0880,Science,Basic,1,20
TCH0149,SCH0329,Nepali,Advanced,3,28
TCH0150,SCH0118,Science,Advanced,2,11
TCH0151,SCH0220,Math,Advanced,18,12
TCH0152,SCH0337,English,Advanced,18,21
TCH0153,SCH0458,Science,Basic,18,27
TCH0154,SCH0240,Math,Advanced,3,29
TCH0155,SCH0902,Social Studies,Advanced,9,29
TCH0156,SCH0188,Social Studies,Advanced,3,10
TCH0157,SCH0911,Science,Basic,2,25
TCH0158,SCH0629,Math,Basic,7,24
TCH0159,SCH0747,Math,Basic,13,23
TCH0160,SCH0393,Science,Advanced,30,14
TCH0161,SCH0920,Social Studies,Basic,5,25
TCH0162,SCH0557,Math,Basic,6,21
TCH0163,SCH0514,Math,Basic,19,28
TCH0164,SCH0753,Social Studies,Advanced,15,23
TCH0165,SCH0643,Nepali,Basic,19,21
TCH0166,SCH0681,Social Studies,Basic,5,27
TCH0167,SCH0349,Science,Basic,19,29
TCH0168,SCH0282,Math,Basic,7,23
TCH0169,SCH0450,Nepali,Basic,4,27
TCH0170,SCH0549,Math,Basic,13,26
TCH0171,SCH0713,Social Studies,Advanced,3,28
TCH0172,SCH0256,Social Studies,Advanced,2,20
TCH0173,SCH0160,Social Studies,Advanced,27,12
TCH0174,SCH0206,Social Studies,Basic,16,25
TCH0175,SCH0136,Science,Basic,7,26
TCH0176,SCH0042,Social Studies,Basic,12,20
TCH0177,SCH0978,Nepali,Basic,19,26
TCH0178,SCH0700,Math,Advanced,20,12
TCH0179,SCH0960,Math,Advanced,19,24
TCH0180,SCH0159,Science,Advanced,1,12
TCH0181,SCH0445,English,Basic,17,21
TCH0182,SCH0404,Math,Advanced,5,11
TCH0183,SCH0210,Social Studies,Basic,16,29
TCH0184,SCH0462,Math,Basic,1,21
TCH0185,SCH0788,Nepali,Basic,5,23
TCH0186,SCH0689,English,Basic,17,23
TCH0187,SCH0095,Nepali,Advanced,5,10
TCH0188,SCH0429,Nepali,Advanced,4,10
TCH0189,SCH0205,Math,Advanced,14,11
TCH0190,SCH0141,Science,Advanced,15,12
TCH0191,SCH0303,Math,Advanced,23,12
TCH0192,SCH0339,Nepali,Basic,17,28
TCH0193,SCH0869,Math,Advanced,8,22
TCH0194,SCH0840,Nepali,Basic,18,22
TCH0195,SCH0127,English,Advanced,13,11
TCH0196,SCH0578,Social Studies,Advanced,4,29
TCH0197,SCH0227,English,Basic,13,24
TCH0198,SCH0781,English,Advanced,22,11
TCH0199,SCH0715,Math,Advanced,23,10
TCH0200,SCH0169,Math,Basic,8,28
TCH0201,SCH0172,English,Advanced,22,10
TCH0202,SCH0370,Math,Basic,15,22
TCH0203,SCH0884,Science,Basic,12,25
TCH0204,SCH0911,Nepali,Advanced,8,22
TCH0205,SCH0518,Science,Basic,8,26
TCH0206,SCH0972,English,Advanced,13,11
TCH0207,SCH0190,Science,Advanced,20,13
TCH0208,SCH0469,Math,Basic,5,27
TCH0209,SCH0657,Nepali,Basic,19,22
TCH0210,SCH0373,Social Studies,Advanced,11,13
TCH0211,SCH0037,Nepali,Advanced,12,29
TCH0212,SCH0205,English,Advanced,27,14
TCH0213,SCH0434,Science,Basic,5,21
TCH0214,SCH0033,Social Studies,Advanced,1,21
TCH0215,SCH0107,English,Advanced,19,11
TCH0216,SCH0450,Science,Basic,10,20
TCH0217,SCH0994,Math,Advanced,14,27
TCH0218,SCH0725,Social Studies,Basic,6,26
TCH0219,SCH0398,Science,Basic,4,26
TCH0220,SCH0704,Math,Advanced,5,20
TCH0221,SCH0390,English,Advanced,23,11
TCH0222,SCH0158,Social Studies,Advanced,13,11
TCH0223,SCH0429,Social Studies,Advanced,6,13
TCH0224,SCH0123,Science,Advanced,14,12
TCH0225,SCH0779,Social Studies,Basic,14,26
TCH0226,SCH0328,Science,Advanced,7,12
TCH0227,SCH0627,Social Studies,Basic,16,22
TCH0228,SCH0189,Science,Advanced,27,12
TCH0229,SCH0006,English,Advanced,12,25
TCH0230,SCH0615,English,Basic,9,24
TCH0231,SCH0219,English,Basic,12,29
TCH0232,SCH0494,Social Studies,Advanced,6,29
TCH0233,SCH0988,Social Studies,Advanced,19,10
TCH0234,SCH0779,Nepali,Advanced,13,23
TCH0235,SCH0404,English,Advanced,8,13
TCH0236,SCH0118,Science,Advanced,10,14
TCH0237,SCH0248,Social Studies,Advanced,28,14
TCH0238,SCH0139,Science,Advanced,1,23
TCH0239,SCH0536,Social Studies,Basic,5,27
TCH0240,SCH0201,English,Advanced,10,12
TCH0241,SCH0878,Social Studies,Basic,16,21
TCH0242,SCH0731,English,Basic,9,23
TCH0243,SCH0287,Social Studies,Advanced,30,13
TCH0244,SCH0137,Nepali,Advanced,6,10
TCH0245,SCH0685,Nepali,Advanced,7,11
TCH0246,SCH0378,Nepali,Advanced,9,25
TCH0247,SCH0137,Nepali,Advanced,29,11
TCH0248,SCH0075,English,Basic,3,20
TCH0249,SCH0800,English,Advanced,5,24
TCH0250,SCH0778,English,Basic,12,23
TCH0251,SCH0189,Science,Advanced,7,12
TCH0252,SCH0584,Math,Basic,14,27
TCH0253,SCH0496,Nepali,Advanced,13,10
TCH0254,SCH0327,Social Studies,Basic,12,26
TCH0255,SCH0273,Math,Basic,18,24
TCH0256,SCH0241,English,Basic,15,21
TCH0257,SCH0475,Science,Advanced,7,13
TCH0258,SCH0215,Math,Basic,3,23
TCH0259,SCH0431,English,Basic,2,24
TCH0260,SCH0573,Social Studies,Advanced,2,21
TCH0261,SCH0828,Nepali,Basic,15,24
TCH0262,SCH0295,Nepali,Advanced,11,23
TCH0263,SCH0913,Social Studies,Basic,15,29
TCH0264,SCH0498,Science,Basic,16,23
TCH0265,SCH0178,Science,Basic,13,23
TCH0266,SCH0070,Science,Basic,11,22
TCH0267,SCH0115,Science,Basic,15,20
TCH0268,SCH0464,Science,Basic,12,24
TCH0269,SCH0789,English,Advanced,27,13
TCH0270,SCH0092,Science,Basic,3,20
TCH0271,SCH0862,Science,Basic,17,27
TCH0272,SCH0122,Social Studies,Basic,12,26
TCH0273,SCH0992,English,Advanced,14,21
TCH0274,SCH0820,Social Studies,Basic,19,28
TCH0275,SCH0905,Science,Basic,13,24
TCH0276,SCH0171,Nepali,Advanced,20,14
TCH0277,SCH0329,Math,Basic,9,25
TCH0278,SCH0565,Nepali,Advanced,1,27
TCH0279,SCH0158,Social Studies,Advanced,21,13
TCH0280,SCH0465,English,Advanced,1,24
TCH0281,SCH0689,Science,Basic,17,26
TCH0282,SCH0339,Math,Basic,9,27
TCH0283,SCH0482,English,Advanced,4,29
TCH0284,SCH0001,Science,Basic,7,23
TCH0285,SCH0911,Social Studies,Basic,2,24
TCH0286,SCH0279,Math,Basic,16,24
TCH0287,SCH0642,Nepali,Advanced,16,13
TCH0288,SCH0610,Math,Advanced,2,21
TCH0289,SCH0822,Math,Basic,10,25
TCH0290,SCH0276,English,Advanced,6,10
TCH0291,SCH0478,Social Studies,Advanced,10,26
TCH0292,SCH0252,Science,Advanced,25,11
TCH0293,SCH0951,Science,Advanced,7,10
TCH0294,SCH0421,Nepali,Basic,13,24
TCH0295,SCH0967,Science,Advanced,7,12
TCH0296,SCH0975,Math,Basic,4,25
TCH0297,SCH0982,Math,Advanced,11,24
TCH0298,SCH0344,Math,Advanced,26,10
TCH0299,SCH0659,Nepali,Advanced,18,23
TCH0300,SCH0096,Science,Advanced,2,28
TCH0301,SCH0268,Math,Basic,3,28
TCH0302,SCH0944,Science,Basic,17,26
TCH0303,SCH0543,Nepali,Advanced,16,23
TCH0304,SCH0341,Nepali,Basic,5,23
TCH0305,SCH0396,Math,Basic,5,26
TCH0306,SCH0747,Math,Advanced,19,28
TCH0307,SCH0931,Science,Basic,1,23
TCH0308,SCH0990,Social Studies,Basic,6,25
TCH0309,SCH0818,Math,Basic,14,28
TCH0310,SCH0198,English,Basic,17,28
TCH0311,SCH0970,Science,Basic,10,27
TCH0312,SCH0209,Math,Basic,18,29
TCH0313,SCH0577,Math,Advanced,14,10
TCH0314,SCH0155,Science,Advanced,7,25
TCH0315,SCH0817,Science,Advanced,5,14
TCH0316,SCH0207,Science,Advanced,30,11
TCH0317,SCH0877,Social Studies,Advanced,9,25
TCH0318,SCH0270,Math,Basic,11,22
TCH0319,SCH0064,Math,Advanced,4,23
TCH0320,SCH0874,Math,Basic,17,28
TCH0321,SCH0548,Science,Basic,17,20
TCH0322,SCH0526,English,Advanced,27,12
TCH0323,SCH0267,Social Studies,Basic,19,20
TCH0324,SCH0593,Science,Advanced,17,13
TCH0325,SCH0510,Nepali,Basic,6,28
TCH0326,SCH0135,Social Studies,Basic,8,26
TCH0327,SCH0715,Social Studies,Advanced,19,11
TCH0328,SCH0105,English,Basic,8,28
TCH0329,SCH0847,Math,Advanced,28,11
TCH0330,SCH0619,Math,Advanced,12,22
TCH0331,SCH0889,Social Studies,Advanced,23,10
TCH0332,SCH0899,Social Studies,Advanced,17,13
TCH0333,SCH0275,Math,Basic,17,27
TCH0334,SCH0406,Social Studies,Advanced,22,11
TCH0335,SCH0141,Nepali,Advanced,19,11
TCH0336,SCH0394,Social Studies,Basic,8,20
TCH0337,SCH0107,Social Studies,Advanced,21,14
TCH0338,SCH0208,English,Basic,8,26
TCH0339,SCH0495,Math,Basic,11,29
TCH0340,SCH0265,English,Advanced,4,25
TCH0341,SCH0181,English,Advanced,3,14
TCH0342,SCH0703,English,Advanced,4,10
TCH0343,SCH0560,Math,Advanced,11,25
TCH0344,SCH0285,Science,Basic,8,27
TCH0345,SCH0016,English,Basic,19,20
TCH0346,SCH0576,Social Studies,Advanced,22,11
TCH0347,SCH0258,Math,Basic,15,23
TCH0348,SCH0599,Math,Advanced,6,14
TCH0349,SCH0199,English,Basic,9,21
TCH0350,SCH0714,Math,Advanced,21,14
TCH0351,SCH0836,Social Studies,Advanced,27,11
TCH0352,SCH0746,Nepali,Basic,3,26
TCH0353,SCH0766,Math,Advanced,1,12
TCH0354,SCH0933,Nepali,Basic,14,29
TCH0355,SCH0263,Nepali,Basic,12,26
TCH0356,SCH0982,Science,Advanced,11,21
TCH0357,SCH0629,Social Studies,Basic,3,23
TCH0358,SCH0074,English,Advanced,1,12
TCH0359,SCH0028,English,Basic,3,26
TCH0360,SCH0664,Math,Basic,18,20
TCH0361,SCH0015,Nepali,Basic,8,26
TCH0362,SCH0673,Math,Advanced,26,12
TCH0363,SCH0087,English,Advanced,7,11
TCH0364,SCH0797,Nepali,Basic,15,25
TCH0365,SCH0202,English,Basic,3,28
TCH0366,SCH0819,Math,Advanced,13,22
TCH0367,SCH0189,Nepali,Advanced,26,14
TCH0368,SCH0776,Science,Basic,4,23
TCH0369,SCH0033,Social Studies,Advanced,3,26
TCH0370,SCH0334,Nepali,Basic,1,26
TCH0371,SCH0314,Nepali,Basic,7,27
TCH0372,SCH0013,Social Studies,Basic,2,24
TCH0373,SCH0091,English,Basic,13,23
TCH0374,SCH0838,Science,Basic,19,20
TCH0375,SCH0551,English,Advanced,11,13
TCH0376,SCH0707,Social Studies,Basic,10,25
TCH0377,SCH0673,Science,Advanced,26,10
TCH0378,SCH0985,Science,Basic,12,22
TCH0379,SCH0160,Math,Advanced,6,11
TCH0380,SCH0591,Math,Advanced,3,24
TCH0381,SCH0022,Social Studies,Advanced,29,14
TCH0382,SCH0232,Social Studies,Basic,6,20
TCH0383,SCH0682,Math,Advanced,15,25
TCH0384,SCH0245,Science,Advanced,27,11
TCH0385,SCH0787,Science,Basic,9,20
TCH0386,SCH0487,Science,Basic,7,26
TCH0387,SCH0188,English,Advanced,13,13
TCH0388,SCH0580,Science,Basic,3,24
TCH0389,SCH0714,Science,Advanced,10,12
TCH0390,SCH0172,Science,Advanced,11,14
TCH0391,SCH0348,Science,Basic,19,24
TCH0392,SCH0646,Math,Advanced,5,10
TCH0393,SCH0305,Math,Basic,2,21
TCH0394,SCH0036,Social Studies,Basic,5,25
TCH0395,SCH0843,Math,Advanced,7,14
TCH0396,SCH0296,Nepali,Basic,9,27
TCH0397,SCH0522,Science,Advanced,7,21
TCH0398,SCH0969,Math,Basic,3,26
TCH0399,SCH0688,English,Basic,9,20
TCH0400,SCH0855,Math,Advanced,13,12
TCH0401,SCH0395,Nepali,Advanced,15,13
TCH0402,SCH0928,Science,Advanced,2,28
TCH0403,SCH0457,Nepali,Basic,2,27
TCH0404,SCH0591,Science,Basic,1,25
TCH0405,SCH0078,Nepali,Advanced,21,11
TCH0406,SCH0938,Math,Advanced,2,11
TCH0407,SCH0185,Math,Advanced,13,25
TCH0408,SCH0904,Science,Basic,2,24
TCH0409,SCH0580,English,Basic,12,21
TCH0410,SCH0990,Science,Advanced,15,26
TCH0411,SCH0925,Nepali,Basic,4,28
TCH0412,SCH0343,Science,Basic,19,23
TCH0413,SCH0463,English,Advanced,14,12
TCH0414,SCH0821,Math,Basic,19,28
TCH0415,SCH0913,English,Advanced,3,20
TCH0416,SCH0518,Math,Basic,2,29
TCH0417,SCH0574,Social Studies,Basic,6,29
TCH0418,SCH0624,Science,Basic,18,26
TCH0419,SCH0905,Nepali,Basic,6,23
TCH0420,SCH0874,Math,Basic,18,28
TCH0421,SCH0521,Math,Basic,11,23
TCH0422,SCH0292,Math,Basic,8,28
TCH0423,SCH0202,Social Studies,Basic,3,28
TCH0424,SCH0160,Social Studies,Advanced,18,10
TCH0425,SCH0090,Math,Basic,15,28
TCH0426,SCH0642,English,Advanced,7,12
TCH0427,SCH0073,Math,Advanced,6,13
TCH0428,SCH0460,Nepali,Basic,12,25
TCH0429,SCH0350,Nepali,Basic,15,23
TCH0430,SCH0898,Math,Advanced,17,27
TCH0431,SCH0973,Science,Basic,16,20
TCH0432,SCH0597,English,Basic,10,27
TCH0433,SCH0104,English,Basic,8,28
TCH0434,SCH0277,Science,Basic,8,20
TCH0435,SCH0624,Nepali,Basic,16,22
TCH0436,SCH0144,Nepali,Advanced,14,21
TCH0437,SCH0519,Social Studies,Advanced,10,25
TCH0438,SCH0148,Science,Advanced,29,11
TCH0439,SCH0873,English,Advanced,22,10
TCH0440,SCH0763,English,Basic,9,29
TCH0441,SCH0225,Science,Basic,17,21
TCH0442,SCH0181,English,Advanced,17,11
TCH0443,SCH0695,Science,Advanced,9,13
TCH0444,SCH0134,Science,Basic,10,25
TCH0445,SCH0629,Social Studies,Basic,1,24
TCH0446,SCH0812,English,Advanced,18,25
TCH0447,SCH0673,English,Advanced,25,13
TCH0448,SCH0166,Nepali,Advanced,8,12
TCH0449,SCH0290,Nepali,Advanced,18,10
TCH0450,SCH0600,English,Basic,6,22
TCH0451,SCH0843,Social Studies,Advanced,21,14
TCH0452,SCH0170,Math,Basic,4,26
TCH0453,SCH0218,Nepali,Advanced,5,10
TCH0454,SCH0764,Nepali,Basic,15,27
TCH0455,SCH0365,English,Advanced,12,29
TCH0456,SCH0129,Nepali,Advanced,6,10
TCH0457,SCH0470,English,Advanced,9,20
TCH0458,SCH0266,English,Basic,15,24
TCH0459,SCH0809,Math,Advanced,2,13
TCH0460,SCH0428,Science,Basic,7,22
TCH0461,SCH0723,English,Basic,3,25
TCH0462,SCH0382,Nepali,Basic,14,26
TCH0463,SCH0932,English,Basic,13,26
TCH0464,SCH0573,English,Basic,9,22
TCH0465,SCH0767,Math,Basic,10,21
TCH0466,SCH0012,Nepali,Basic,19,24
TCH0467,SCH0803,English,Advanced,17,24
TCH0468,SCH0546,English,Basic,2,21
TCH0469,SCH0816,Social Studies,Advanced,1,12
TCH0470,SCH0406,Math,Advanced,6,12
TCH0471,SCH0822,Math,Basic,9,26
TCH0472,SCH0779,English,Basic,6,20
TCH0473,SCH0265,Social Studies,Basic,14,27
TCH0474,SCH0419,Science,Basic,11,29
TCH0475,SCH0770,English,Advanced,30,10
TCH0476,SCH0028,Math,Basic,3,20
TCH0477,SCH0267,Math,Advanced,13,22
TCH0478,SCH0280,Nepali,Advanced,13,26
TCH0479,SCH0941,Math,Advanced,21,10
TCH0480,SCH0416,English,Advanced,3,10
TCH0481,SCH0235,Science,Advanced,8,26
TCH0482,SCH0175,Nepali,Advanced,30,11
TCH0483,SCH0730,Science,Advanced,20,12
TCH0484,SCH0015,English,Basic,18,29
TCH0485,SCH0458,Social Studies,Basic,17,29
TCH0486,SCH0152,Math,Advanced,18,11
TCH0487,SCH0071,English,Advanced,19,23
TCH0488,SCH0662,Nepali,Advanced,13,12
TCH0489,SCH0491,Social Studies,Basic,7,22
TCH0490,SCH0717,English,Basic,18,21
TCH0491,SCH0767,Science,Basic,10,25
TCH0492,SCH0569,Math,Advanced,4,29
TCH0493,SCH0676,Nepali,Basic,14,24
TCH0494,SCH0123,English,Advanced,23,14
TCH0495,SCH0294,Math,Basic,18,25
TCH0496,SCH0420,English,Advanced,13,21
TCH0497,SCH0848,Science,Basic,16,23
TCH0498,SCH0648,Science,Advanced,17,14
TCH0499,SCH0825,Nepali,Basic,1,28
TCH0500,SCH0301,Science,Basic,17,25
TCH0501,SCH0462,Social Studies,Basic,18,20
TCH0502,SCH0975,Science,Basic,14,20
TCH0503,SCH0073,English,Advanced,18,12
TCH0504,SCH0284,English,Basic,12,23
TCH0505,SCH0387,Social Studies,Advanced,21,11
TCH0506,SCH0787,Math,Basic,1,26
TCH0507,SCH0074,Nepali,Advanced,15,11
TCH0508,SCH0637,Science,Basic,14,28
TCH0509,SCH0916,Math,Advanced,29,12
TCH0510,SCH0151,Math,Basic,1,23
TCH0511,SCH0453,Social Studies,Basic,14,20
TCH0512,SCH0337,Math,Basic,2,27
TCH0513,SCH0814,Nepali,Advanced,5,27
TCH0514,SCH0080,Science,Basic,2,20
TCH0515,SCH0803,Science,Basic,15,26
TCH0516,SCH0370,Science,Basic,5,21
TCH0517,SCH0597,Nepali,Basic,13,22
TCH0518,SCH0074,English,Advanced,16,12
TCH0519,SCH0773,Nepali,Basic,19,25
TCH0520,SCH0185,English,Advanced,12,29
TCH0521,SCH0214,Math,Advanced,2,11
TCH0522,SCH0084,Nepali,Advanced,9,11
TCH0523,SCH0739,English,Advanced,23,10
TCH0524,SCH0566,Science,Basic,16,23
TCH0525,SCH0290,Science,Advanced,28,12
TCH0526,SCH0679,Math,Advanced,14,27
TCH0527,SCH0603,Math,Advanced,7,29
TCH0528,SCH0720,English,Advanced,7,14
TCH0529,SCH0222,Social Studies,Basic,11,29
TCH0530,SCH0025,Science,Advanced,15,13
TCH0531,SCH0677,Science,Basic,19,23
TCH0532,SCH0809,English,Advanced,13,14
TCH0533,SCH0522,Science,Basic,14,27
TCH0534,SCH0153,Social Studies,Advanced,21,10
TCH0535,SCH0165,Math,Basic,16,27
TCH0536,SCH0964,Math,Basic,14,22
TCH0537,SCH0624,Science,Basic,4,20
TCH0538,SCH0436,Nepali,Advanced,2,21
TCH0539,SCH0292,Nepali,Basic,10,22
TCH0540,SCH0391,English,Basic,19,22
TCH0541,SCH0107,English,Advanced,24,12
TCH0542,SCH0672,Science,Basic,13,22
TCH0543,SCH0816,Social Studies,Advanced,27,10
TCH0544,SCH0348,Social Studies,Advanced,17,23
TCH0545,SCH0242,Nepali,Basic,18,22
TCH0546,SCH0178,Nepali,Basic,4,24
TCH0547,SCH0058,Social Studies,Basic,9,28
TCH0548,SCH0796,Social Studies,Basic,9,26
TCH0549,SCH0084,English,Advanced,24,10
TCH0550,SCH0308,Math,Basic,17,29
TCH0551,SCH0481,Nepali,Advanced,20,11
TCH0552,SCH0184,English,Advanced,16,21
TCH0553,SCH0737,English,Advanced,9,25
TCH0554,SCH0204,Math,Advanced,13,29
TCH0555,SCH0998,Math,Advanced,10,20
TCH0556,SCH0020,Math,Basic,9,27
TCH0557,SCH0225,Math,Basic,3,21
TCH0558,SCH0965,English,Basic,2,27
TCH0559,SCH0401,Science,Advanced,27,12
TCH0560,SCH0169,Math,Advanced,13,24
TCH0561,SCH0426,Science,Advanced,17,14
TCH0562,SCH0686,English,Basic,2,22
TCH0563,SCH0718,Science,Basic,6,26
TCH0564,SCH0412,Nepali,Basic,9,27
TCH0565,SCH0161,English,Basic,14,29
TCH0566,SCH0801,Science,Basic,10,27
TCH0567,SCH0818,Social Studies,Basic,12,25
TCH0568,SCH0204,English,Basic,11,28
TCH0569,SCH0068,Science,Advanced,27,14
TCH0570,SCH0133,English,Basic,19,28
TCH0571,SCH0347,Science,Advanced,14,14
TCH0572,SCH0961,Science,Advanced,14,26
TCH0573,SCH0348,English,Basic,2,28
TCH0574,SCH0855,Math,Advanced,26,10
TCH0575,SCH0049,Math,Basic,5,21
TCH0576,SCH0549,Nepali,Advanced,11,25
